id,study.name,dint,SD,cf.timely,setting,ed.level,profic,genre,timed,Length,graded,cf.training,error.type,cf.scope,cf.type,error.key,cf.revision,cf.oral
21,Jiang_Xiao,1.3021982,0.3214795,1,2,2,1,5,1,1,88,1,1,2,0,88,99,0
21,Jiang_Xiao,0.7841841,0.28273,1,2,2,1,5,1,1,88,1,1,2,0,88,99,0
22,Karim_End.,0.4503802,0.3076748,0,2,2,1,5,1,1,99,99,2,2,0,88,1,0
22,Karim_End.,1.4367287,0.3679453,0,2,2,1,5,1,1,99,99,2,2,0,88,1,0
22,Karim_End.,-0.348525,0.3292748,0,2,2,1,5,1,1,99,99,2,2,0,88,1,0
22,Karim_End.,1.060784,0.3538706,0,2,2,1,5,1,1,99,99,2,2,1,88,1,0
22,Karim_End.,1.8876103,0.43278,0,2,2,1,5,1,1,99,99,2,2,1,88,1,0
22,Karim_End.,0.3292314,0.3321529,0,2,2,1,5,1,1,99,99,2,2,1,88,1,0
22,Karim_End.,0.7961556,0.3309077,0,2,2,1,5,1,1,99,99,2,2,3,88,1,0
22,Karim_End.,1.4271563,0.3822325,0,2,2,1,5,1,1,99,99,2,2,3,88,1,0
22,Karim_End.,-0.2824068,0.3243231,0,2,2,1,5,1,1,99,99,2,2,3,88,1,0
23,Karim_Nas.,0.1612159,0.4041255,0,1,2,1,5,1,1,1,99,0,0,0,88,1,0
23,Karim_Nas.,0.1226661,0.4153538,0,1,2,1,5,1,1,1,99,0,0,1,88,1,0
23,Karim_Nas.,0.7107223,0.4582532,0,1,2,1,5,1,1,1,99,0,0,2,88,1,0
24,Kassim_Ng,0.8567882,0.2770054,99,2,2,1,5,1,2,0,99,2,2,1,88,99,0
24,Kassim_Ng,1.3068494,0.302402,99,2,2,1,5,1,2,0,99,2,2,1,88,99,0
24,Kassim_Ng,0.9412334,0.2804402,99,2,2,1,5,1,2,0,99,2,2,1,88,99,0
24,Kassim_Ng,1.2743159,0.3014472,99,2,2,1,5,1,2,0,99,2,2,1,88,99,0
25,Mubarak,0.9173249,0.4103055,1,2,2,0,77,1,1,0,99,0,0,0,88,1,0
25,Mubarak,0.1020844,0.3755523,1,2,2,0,77,1,1,0,99,0,0,0,88,1,0
25,Mubarak,0.7551883,0.4611462,1,2,2,0,77,1,1,0,99,0,0,0,88,1,0
25,Mubarak,1.1760335,0.5160081,1,2,2,0,77,1,1,0,99,0,0,0,88,1,0
25,Mubarak,0.5287748,0.4499304,1,2,2,0,77,1,1,0,99,0,0,0,88,1,0
25,Mubarak,-0.1189049,0.4027479,1,2,2,0,77,1,1,0,99,0,0,0,88,1,0
25,Mubarak,-0.0883446,0.3954111,1,2,2,0,77,1,1,0,99,0,0,0,88,1,0
25,Mubarak,0.539087,0.440751,1,2,2,0,77,1,1,0,99,0,0,0,88,1,0
25,Mubarak,0.9850886,0.3893481,1,2,2,0,77,1,1,0,99,0,0,1,88,1,0
25,Mubarak,0.7408177,0.3888191,1,2,2,0,77,1,1,0,99,0,0,1,88,1,0
25,Mubarak,-0.492668,0.4220668,1,2,2,0,77,1,1,0,99,0,0,1,88,1,0
25,Mubarak,-1.3695479,0.5170514,1,2,2,0,77,1,1,0,99,0,0,1,88,1,0
25,Mubarak,0.2064641,0.3978624,1,2,2,0,77,1,1,0,99,0,0,1,88,1,0
25,Mubarak,-0.1587712,0.3898625,1,2,2,0,77,1,1,0,99,0,0,1,88,1,0
25,Mubarak,-0.3610557,0.3986836,1,2,2,0,77,1,1,0,99,0,0,1,88,1,0
25,Mubarak,0.2661353,0.4308988,1,2,2,0,77,1,1,0,99,0,0,1,88,1,0
26,Munoz,0.4898987,0.3345534,2,2,2,99,5,1,2,1,1,0,2,2,1,1,0
26,Munoz,-0.1428038,0.3377286,2,2,2,99,5,1,2,1,1,0,2,1,88,1,0
27,Nakazawa,0.6207107,0.4442629,1,2,2,0,6,99,1,0,0,0,1,0,88,1,0
27,Nakazawa,0.5270074,0.4444924,1,2,2,0,6,99,1,0,0,0,1,2,1,1,0
27,Nakazawa,0.2072256,0.4510092,1,2,2,0,6,99,1,0,0,0,1,15,88,1,0
28,Nemati_etal,4.6135844,0.5184302,0,2,3,0,77,1,99,99,0,3,2,0,88,1,0
28,Nemati_etal,2.3758261,0.3565534,0,2,3,0,77,1,99,99,0,3,2,0,88,1,0
28,Nemati_etal,5.0930621,0.5608772,0,2,3,0,77,1,99,99,0,3,2,1,88,1,0
28,Nemati_etal,2.8685424,0.5111568,0,2,3,0,77,1,99,99,0,3,2,1,88,1,0
29,Nusrat.etal.,-0.2210411,0.2822157,2,2,2,99,5,1,99,0,1,1,1,2,1,1,0
29,Nusrat.etal.,-0.1870419,0.2986358,2,2,2,99,5,1,99,0,1,2,1,2,1,1,0
29,Nusrat.etal.,1.5176774,0.330346,2,2,2,99,5,1,99,0,1,3,1,2,1,1,0
30,Pariyto_Cah.,1.2414784,0.4949606,1,2,2,1,2,1,2,99,0,0,0,0,88,1,0
30,Pariyto_Cah.,0.0505857,0.4129089,1,2,2,1,2,1,2,99,0,0,0,0,88,1,0
31,Parreno,0.3399538,0.3494062,99,2,2,1,6,1,1,0,1,0,1,1,88,1,0
31,Parreno,-0.2291886,0.3710675,99,2,2,1,6,1,1,0,1,0,1,1,88,1,0
31,Parreno,0.8055968,0.3655842,99,2,2,1,6,1,1,0,1,0,1,1,88,1,0
31,Parreno,0.0350135,0.3346686,99,2,2,1,6,1,1,0,1,0,1,1,88,1,0
31,Parreno,0.050964,0.3696244,99,2,2,1,6,1,1,0,1,0,1,0,88,1,0
31,Parreno,1.6658645,0.4184007,99,2,2,1,6,1,1,0,1,0,1,0,88,1,0
31,Parreno,0.5851286,0.3495708,99,2,2,1,6,1,1,0,1,0,1,0,88,1,0
31,Parreno,0.774272,0.3838612,99,2,2,1,6,1,1,0,1,0,1,0,88,1,0
31,Parreno,2.2151856,0.4342508,99,2,2,1,6,1,1,0,1,0,1,2,1,1,0
31,Parreno,0.6304444,0.3656321,99,2,2,1,6,1,1,0,1,0,1,2,1,1,0
31,Parreno,0.7242867,0.4099033,99,2,2,1,6,1,1,0,1,0,1,2,1,1,0
31,Parreno,1.2481171,0.4043718,99,2,2,1,6,1,1,0,1,0,1,2,1,1,0
32,Pash.,0.9000682,0.3521914,1,2,2,1,7,1,1,99,0,0,1,0,88,0,0
32,Pash.,0.2032657,0.3356701,1,2,2,1,7,1,1,99,0,0,1,0,88,0,0
32,Pash.,0.9216269,0.397073,1,2,2,1,7,1,1,99,0,0,1,0,88,0,0
32,Pash.,0.1405257,0.3129179,1,2,2,1,7,1,1,99,0,0,1,0,88,0,0
32,Pash.,-0.0758471,0.3313889,1,2,2,1,7,1,1,99,0,0,1,0,88,1,0
32,Pash.,0.0016441,0.3400064,1,2,2,1,7,1,1,99,0,0,1,0,88,1,0
33,Polio_etal,0.0902697,0.2562736,0,1,2,99,6,1,99,1,99,0,0,99,0,1,0
33,Polio_etal,0.3222086,0.2530509,0,1,2,99,6,1,99,1,99,0,0,99,0,1,0
34,Rahimi,0.1282604,0.2998879,1,2,2,1,2,0,2,99,99,0,0,2,0,1,0
35,Rummel_Bitc.,1.0154921,0.4995291,1,2,3,2,6,1,2,99,99,3,2,0,0,2,0
35,Rummel_Bitc.,0.926303,0.4918794,1,2,3,2,6,1,2,99,99,3,2,0,0,2,0
35,Rummel_Bitc.,1.4079327,0.5384294,1,2,3,2,6,1,2,99,99,3,2,2,0,2,0
35,Rummel_Bitc.,0.6507771,0.4657573,1,2,3,2,6,1,2,99,99,3,2,2,0,2,0
35,Rummel_Bitc.,0.5978469,0.4656231,1,2,3,2,6,1,2,99,99,3,2,3,0,2,0
35,Rummel_Bitc.,0.8492649,0.4711154,1,2,3,2,6,1,2,99,99,3,2,3,0,2,0
36,Seiff_ElSak,4.0093611,0.7127632,99,2,2,99,2,1,99,0,1,0,0,15,0,99,0
37,Sheen_a,0.3857008,0.2787259,1,1,2,1,6,1,0,0,99,1,2,0,88,0,0
37,Sheen_a,0.5686759,0.2849135,1,1,2,1,6,1,0,0,99,1,2,0,88,0,0
37,Sheen_a,0.3256147,0.2779296,1,1,2,1,6,1,0,0,99,1,2,8,88,0,0
37,Sheen_a,0.8398197,0.3013591,1,1,2,1,6,1,0,0,99,1,2,8,88,0,0
38,Sheen_b,0.8279999,0.2967704,1,1,2,1,6,1,99,0,99,1,2,0,88,2,0
38,Sheen_b,0.7615711,0.2917451,1,1,2,1,6,1,99,0,99,1,2,0,88,2,0
38,Sheen_b,0.8854389,0.2982025,1,1,2,1,6,1,99,0,99,1,2,8,88,2,0
38,Sheen_b,1.1292692,0.3086831,1,1,2,1,6,1,99,0,99,1,2,8,88,2,0
39,Sheen_etal,0.7071197,0.3960213,1,1,2,1,6,1,99,99,99,1,2,0,88,1,0
39,Sheen_etal,-0.3736234,0.3370018,1,1,2,1,6,1,99,99,99,1,2,0,88,1,0
39,Sheen_etal,0.9267538,0.4002786,1,1,2,1,6,1,99,99,99,1,1,0,88,1,0
39,Sheen_etal,-0.1539893,0.3407137,1,1,2,1,6,1,99,99,99,1,1,0,88,1,0
39,Sheen_etal,0.2861857,0.3606871,1,1,2,1,6,1,99,99,99,1,2,0,88,1,0
39,Sheen_etal,0.4743975,0.3802034,1,1,2,1,6,1,99,99,99,1,2,0,88,1,0
39,Sheen_etal,0.5058198,0.3657684,1,1,2,1,6,1,99,99,99,1,1,0,88,1,0
39,Sheen_etal,0.6940316,0.3804053,1,1,2,1,6,1,99,99,99,1,1,0,88,1,0
39,Sheen_etal,0.7720833,0.3968449,1,1,2,1,6,1,99,99,99,0,1,0,88,1,0
39,Sheen_etal,0.0125607,0.3448212,1,1,2,1,6,1,99,99,99,0,1,0,88,1,0
