id,study.name,dint,SD,YofPub,cont.type,outcome,time,treatments,cf.timely,ssci,setting,ed.level,Age,profic,motivation,Ss.aware,random.grp,equiv.grp,rel.inter,rel.intra,genre,sourced,timed,Location,Length,instruction,graded,acc.measure,cf.training,error.type,cf.scope,cf.type,error.key,cf.provider,cf.revision,cf.oral
12,Eki_diGnro,0.0969807,0.3559239,2019,1,1,1,3,1,1,1,2,2,1,99,0,1,99,1,0,5,0,0,0,99,0,99,1,99,1,2,8,88,99,2,0
12,Eki_diGnro,-0.2352528,0.3392146,2019,1,1,4,3,1,1,1,2,2,1,99,0,1,99,1,0,5,0,0,0,99,0,99,1,99,1,2,8,88,99,2,0
13,Elis_Sh_Mur_Tak,-0.0130216,0.4733229,2008,1,1,1,3,1,1,2,2,2,1,99,0,99,1,0,0,5,1,0,0,99,0,0,1,99,1,2,0,88,2,2,0
13,Elis_Sh_Mur_Tak,0.7144886,0.5221837,2008,1,1,3,3,1,1,2,2,2,1,99,0,99,1,0,0,5,1,0,0,99,0,0,1,99,1,2,0,88,2,2,0
13,Elis_Sh_Mur_Tak,1.8857288,0.6562503,2008,1,1,1,3,1,1,2,2,2,1,99,0,99,1,0,0,5,1,0,0,99,0,0,1,99,1,0,0,88,2,2,0
13,Elis_Sh_Mur_Tak,1.132933,0.5119085,2008,1,1,3,3,1,1,2,2,2,1,99,0,99,1,0,0,5,1,0,0,99,0,0,1,99,1,0,0,88,2,2,0
14,Ev_Hart_StngKras,1.0936034,0.4110233,2011,1,1,2,4,0,1,1,2,2,2,99,99,99,0,1,0,2,0,1,0,1,1,88,2,99,0,0,2,1,0,1,0
15,Fazio,-0.130892,0.3631679,2001,1,1,2,99,1,1,1,0,0,77,99,99,1,99,0,0,6,0,0,0,99,99,99,1,99,0,1,0,88,1,2,0
15,Fazio,-0.5467906,0.3878281,2001,1,1,2,99,1,1,1,0,0,77,99,99,1,99,0,0,6,0,0,0,99,99,99,1,99,0,1,1,88,1,2,0
16,Frear_Chiu,1.0485025,0.444631,2016,0,1,1,1,99,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,1,0,2,2,1,88,1,0,0
16,Frear_Chiu,1.1609789,0.4374823,2016,0,1,2,1,99,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,1,0,2,2,1,88,1,0,0
16,Frear_Chiu,1.0507744,0.4317677,2016,0,1,1,1,99,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,1,0,2,2,1,88,1,0,0
16,Frear_Chiu,0.9881051,0.4077344,2016,0,1,2,1,99,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,1,0,2,2,1,88,1,0,0
17,Guo,0.6348017,0.2951438,2015,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,1,88,0,0,0
17,Guo,0.9076638,0.3146548,2015,1,1,3,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,1,88,0,0,0
17,Guo,0.9928717,0.3123369,2015,1,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,1,88,0,0,0
17,Guo,1.2790014,0.3381325,2015,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0
17,Guo,0.9394399,0.3111452,2015,1,1,3,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0
17,Guo,0.3649804,0.287238,2015,1,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0
17,Guo,0.5434674,0.2944544,2015,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,3,88,0,0,0
17,Guo,0.346734,0.2875928,2015,1,1,3,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,3,88,0,0,0
17,Guo,0.9225743,0.3152422,2015,1,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,3,88,0,0,0
17,Guo,0.4973949,0.2954937,2015,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,88,0,0,0
17,Guo,0.9395114,0.307874,2015,1,1,3,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,88,0,0,0
17,Guo,0.2159263,0.279293,2015,1,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,88,0,0,0
17,Guo,0.8525524,0.309845,2015,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,8,88,0,0,0
17,Guo,0.680117,0.2944967,2015,1,1,3,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,8,88,0,0,0
17,Guo,0.7709437,0.3077805,2015,1,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,8,88,0,0,0
18,Harts_Evans,0.9936019,0.4358792,2015,0,1,2,4,0,1,1,2,2,1,99,99,0,1,1,0,2,0,1,0,99,1,0,2,99,0,0,2,1,0,1,0
19,Hartshorn,0.8304661,0.3165176,2008,1,1,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,1,0,2,1,0,1,0
19,Hartshorn,0.9482234,0.3154391,2008,1,2,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,1,0,2,1,0,1,0
19,Hartshorn,0.3817407,0.3088334,2008,1,3,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,10,0,2,1,0,1,0
19,Hartshorn,-0.250819,0.2995099,2008,1,4,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,10,0,2,1,0,1,0
20,Jhowry,-0.0618444,0.4704436,2010,1,1,1,4,1,2,1,2,2,2,99,99,1,1,1,0,2,0,1,0,2,0,99,,0,0,2,1,88,1,1,0
21,Jiang_Xiao,1.0680665,0.3058096,2014,0,1,1,2,1,1,2,2,2,1,99,99,1,99,0,0,5,0,1,0,1,0,88,1,1,1,2,0,88,99,99,0
21,Jiang_Xiao,0.6699853,0.2755603,2014,0,1,3,2,1,1,2,2,2,1,99,99,1,99,0,0,5,0,1,0,1,0,88,1,1,1,2,0,88,99,99,0
21,Jiang_Xiao,1.3021982,0.3214795,2014,0,1,1,2,1,1,2,2,2,1,99,99,1,99,0,0,5,0,1,0,1,0,88,1,1,1,2,0,88,99,99,0
21,Jiang_Xiao,0.7841841,0.28273,2014,0,1,3,2,1,1,2,2,2,1,99,99,1,99,0,0,5,0,1,0,1,0,88,1,1,1,2,0,88,99,99,0
22,Karim_End.,0.4503802,0.3076748,2019,0,1,2,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,0,88,99,1,0
22,Karim_End.,1.4367287,0.3679453,2019,0,1,3,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,0,88,99,1,0
22,Karim_End.,-0.348525,0.3292748,2019,0,1,3,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,0,88,99,1,0
22,Karim_End.,1.060784,0.3538706,2019,0,1,2,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,1,88,99,1,0
22,Karim_End.,1.8876103,0.43278,2019,0,1,3,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,1,88,99,1,0
22,Karim_End.,0.3292314,0.3321529,2019,0,1,3,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,1,88,99,1,0
22,Karim_End.,0.7961556,0.3309077,2019,0,1,2,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,3,88,99,1,0
22,Karim_End.,1.4271563,0.3822325,2019,0,1,3,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,3,88,99,1,0
22,Karim_End.,-0.2824068,0.3243231,2019,0,1,3,2,0,0,2,2,2,1,99,99,1,0,1,1,5,0,1,0,1,99,99,1,99,2,2,3,88,99,1,0
23,Karim_Nas.,0.1612159,0.4041255,2018,0,1,2,3,0,1,1,2,2,1,99,1,1,1,1,1,5,0,1,1,1,99,1,0,99,0,0,0,88,2,1,0
23,Karim_Nas.,0.1226661,0.4153538,2018,0,1,2,3,0,1,1,2,2,1,99,1,1,1,1,1,5,0,1,1,1,99,1,0,99,0,0,1,88,2,1,0
23,Karim_Nas.,0.7107223,0.4582532,2018,0,1,2,3,0,1,1,2,2,1,99,1,1,1,1,1,5,0,1,1,1,99,1,0,99,0,0,2,88,2,1,0
24,Kassim_Ng,0.8567882,0.2770054,2014,0,1,1,2,99,1,2,2,2,1,99,1,99,99,1,0,5,0,1,1,2,0,0,1,99,2,2,1,88,99,99,0
24,Kassim_Ng,1.3068494,0.302402,2014,0,1,4,2,99,1,2,2,2,1,99,1,99,99,1,0,5,0,1,1,2,0,0,1,99,2,2,1,88,99,99,0
24,Kassim_Ng,0.9412334,0.2804402,2014,0,1,1,2,99,1,2,2,2,1,99,1,99,99,1,0,5,0,1,1,2,0,0,1,99,2,2,1,88,99,99,0
24,Kassim_Ng,1.2743159,0.3014472,2014,0,1,4,2,99,1,2,2,2,1,99,1,99,99,1,0,5,0,1,1,2,0,0,1,99,2,2,1,88,99,99,0
25,Mubarak,0.9173249,0.4103055,2013,0,1,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
25,Mubarak,0.1020844,0.3755523,2013,0,1,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
25,Mubarak,0.7551883,0.4611462,2013,0,2,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
25,Mubarak,1.1760335,0.5160081,2013,0,2,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
25,Mubarak,0.5287748,0.4499304,2013,0,3,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
25,Mubarak,-0.1189049,0.4027479,2013,0,3,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
25,Mubarak,-0.0883446,0.3954111,2013,0,4,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
25,Mubarak,0.539087,0.440751,2013,0,4,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
25,Mubarak,0.9850886,0.3893481,2013,0,1,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
25,Mubarak,0.7408177,0.3888191,2013,0,1,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
25,Mubarak,-0.492668,0.4220668,2013,0,2,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
