"study.name","dint","SD","setting","cf.type","error.key","error.type","ed.level","profic","cf.oral","cf.training","cf.scope","Length","instruction","graded","genre","cf.revision","timed"
"Parreno",0.8055968,0.3670144,"2","1","88","0","2","1","0","1","1","1","99","0","6","1","1"
"Parreno",0.0350135,0.3395966,"2","1","88","0","2","1","0","1","1","1","99","0","6","1","1"
"Parreno",0.050964,0.3690102,"2","0","88","0","2","1","0","1","1","1","99","0","6","1","1"
"Parreno",1.6658645,0.4238738,"2","0","88","0","2","1","0","1","1","1","99","0","6","1","1"
"Parreno",0.5851286,0.3527126,"2","0","88","0","2","1","0","1","1","1","99","0","6","1","1"
"Parreno",0.774272,0.3834819,"2","0","88","0","2","1","0","1","1","1","99","0","6","1","1"
"Parreno",2.2151856,0.4341143,"2","2","1","0","2","1","0","1","1","1","99","0","6","1","1"
"Parreno",0.6304444,0.3617701,"2","2","1","0","2","1","0","1","1","1","99","0","6","1","1"
"Parreno",0.7242867,0.4135053,"2","2","1","0","2","1","0","1","1","1","99","0","6","1","1"
"Parreno",1.2481171,0.3991455,"2","2","1","0","2","1","0","1","1","1","99","0","6","1","1"
"Pash.",0.9000682,0.3514625,"2","0","88","0","2","1","0","0","1","1","0","99","7","0","1"
"Pash.",0.2032657,0.3380515,"2","0","88","0","2","1","0","0","1","1","0","99","7","0","1"
"Pash.",0.9216269,0.3976202,"2","0","88","0","2","1","0","0","1","1","0","99","7","0","1"
"Pash.",0.1405257,0.3157692,"2","0","88","0","2","1","0","0","1","1","0","99","7","0","1"
"Pash.",-0.0758471,0.3288169,"2","0","88","0","2","1","0","0","1","1","0","99","7","1","1"
"Pash.",0.0016441,0.3412585,"2","0","88","0","2","1","0","0","1","1","0","99","7","1","1"
"Polio_etal",0.0902697,0.2556087,"1","99","0","0","2","99","0","99","0","99","1","1","6","1","1"
"Polio_etal",0.3222086,0.2521722,"1","99","0","0","2","99","0","99","0","99","1","1","6","1","1"
"Rahimi",0.1282604,0.296604,"2","2","0","0","2","1","0","99","0","2","99","99","2","1","0"
"Rummel_Bitc.",1.0154921,0.4996017,"2","0","0","3","3","2","0","99","2","2","99","99","6","2","1"
"Rummel_Bitc.",0.926303,0.4908885,"2","0","0","3","3","2","0","99","2","2","99","99","6","2","1"
"Rummel_Bitc.",1.4079327,0.5314065,"2","2","0","3","3","2","0","99","2","2","99","99","6","2","1"
"Rummel_Bitc.",0.6507771,0.4657141,"2","2","0","3","3","2","0","99","2","2","99","99","6","2","1"
"Rummel_Bitc.",0.5978469,0.4566285,"2","3","0","3","3","2","0","99","2","2","99","99","6","2","1"
"Rummel_Bitc.",0.8492649,0.4729815,"2","3","0","3","3","2","0","99","2","2","99","99","6","2","1"
"Seiff_ElSak",4.0093611,0.7185916,"2","15","0","0","2","99","0","1","0","99","2","0","2","99","1"
"Sheen_a",0.3857008,0.2743647,"1","0","88","1","2","1","0","99","2","1","0","0","6","0","1"
"Sheen_a",0.5686759,0.282443,"1","0","88","1","2","1","0","99","2","1","0","0","6","0","1"
"Sheen_a",0.3256147,0.2700572,"1","8","88","1","2","1","0","99","2","1","0","0","6","0","1"
"Sheen_a",0.8398197,0.2991693,"1","8","88","1","2","1","0","99","2","1","0","0","6","0","1"
"Sheen_b",0.8279999,0.3019298,"1","0","88","1","2","1","0","99","2","99","0","0","6","2","1"
"Sheen_b",0.7615711,0.2934663,"1","0","88","1","2","1","0","99","2","99","0","0","6","2","1"
"Sheen_b",0.8854389,0.2940729,"1","8","88","1","2","1","0","99","2","99","0","0","6","2","1"
"Sheen_b",1.1292692,0.3142542,"1","8","88","1","2","1","0","99","2","99","0","0","6","2","1"
"Sheen_etal",0.7071197,0.3950853,"1","0","88","1","2","1","0","99","2","99","99","99","6","1","1"
"Sheen_etal",-0.3736234,0.3347178,"1","0","88","1","2","1","0","99","2","99","99","99","6","1","1"
"Sheen_etal",0.9267538,0.3980615,"1","0","88","1","2","1","0","99","1","99","99","99","6","1","1"
"Sheen_etal",-0.1539893,0.3398071,"1","0","88","1","2","1","0","99","1","99","99","99","6","1","1"
"Sheen_etal",0.2861857,0.3605901,"1","0","88","1","2","1","0","99","2","99","99","99","6","1","1"
"Sheen_etal",0.4743975,0.3743737,"1","0","88","1","2","1","0","99","2","99","99","99","6","1","1"
"Sheen_etal",0.5058198,0.3676448,"1","0","88","1","2","1","0","99","1","99","99","99","6","1","1"
"Sheen_etal",0.6940316,0.386502,"1","0","88","1","2","1","0","99","1","99","99","99","6","1","1"
"Sheen_etal",0.7720833,0.3953562,"1","0","88","0","2","1","0","99","1","99","99","99","6","1","1"
"Sheen_etal",0.0125607,0.343944,"1","0","88","0","2","1","0","99","1","99","99","99","6","1","1"
"Sheen_etal",-0.322915,0.5044455,"1","0","88","1","2","1","0","99","2","99","99","99","6","1","1"
"Sheen_etal",-1.0824376,0.4589637,"1","0","88","1","2","1","0","99","2","99","99","99","6","1","1"
"Sheen_etal",0.4558268,0.3656289,"1","0","88","0","2","1","0","99","1","99","99","99","6","1","1"
"Sheen_etal",0.3870768,0.3642286,"1","0","88","0","2","1","0","99","1","99","99","99","6","1","1"
"Sheen_etal",-0.6391715,0.478693,"1","0","88","1","2","1","0","99","2","99","99","99","6","1","1"
"Sheen_etal",-0.7079216,0.4825797,"1","0","88","1","2","1","0","99","2","99","99","99","6","1","1"
"Shint_Ellis",1.2323605,0.4352855,"1","3","88","1","2","1","0","99","2","99","0","99","5","1","1"
"Shint_Ellis",0.6011111,0.365693,"1","3","88","1","2","1","0","99","2","99","0","99","5","1","1"
"Shint_Ellis",0.0519818,0.3693966,"1","0","88","1","2","1","0","99","2","99","0","99","5","1","1"
"Shint_Ellis",0.2509581,0.3632564,"1","0","88","1","2","1","0","99","2","99","0","99","5","1","1"
"Sob_Taybi",0.2483885,0.3726622,"2","1","88","0","3","1","0","99","0","99","99","0","5","99","1"
"Sob_Taybi",0.4192391,0.3803085,"2","1","88","0","3","1","0","99","1","99","99","0","5","99","1"
"Stefan_Revesz",-0.4877348,0.2730207,"2","0","88","1","1","1","0","99","2","99","0","99","7","2","0"
"Stefan_Revesz",0.1271268,0.2903436,"2","0","88","1","1","1","0","99","2","99","0","99","7","2","0"
"Stefan_Revesz",2.0438835,0.3452839,"2","0","88","1","1","1","0","99","2","99","0","99","7","2","0"
"Stefan_Revesz",1.8026304,0.3189046,"2","0","88","1","1","1","0","99","2","99","0","99","7","2","0"
"Stefan_Revesz",-0.1259811,0.2691317,"2","8","88","1","1","1","0","99","2","99","0","99","7","2","0"
