study.name,group.name,n,d,t.pair,df,mdif,sdif,mpre,sdpre,mpos,sdpos,r,rev.sign,rev.group,autoreg,post,control,outcome,ESL,prof,scope,type
,,,,,,,,,,,,,,,,,,,,,,
Mubarak,grA.short,17,NA,-2.055,NA,NA,NA,57.11,23.89,71.76,25.8,NA,FALSE,TRUE,FALSE,1,FALSE,4,2,2,2,2
Mubarak,grA.long,17,NA,NA,NA,NA,NA,57.11,23.89,63.76,19.25,NA,FALSE,FALSE,FALSE,2,FALSE,4,2,2,2,2
Mubarak,grB.short,16,NA,-4.788,NA,NA,NA,55.25,12.67,75.87,18.82,NA,FALSE,TRUE,FALSE,1,FALSE,4,2,2,2,4
Mubarak,grB.long,16,NA,NA,NA,NA,NA,55.25,12.67,65.62,9.84,NA,FALSE,FALSE,FALSE,2,FALSE,4,2,2,2,4
Mubarak,Cont.short,13,NA,-2.48,NA,NA,NA,48.23,21.82,64.76,21.43,NA,FALSE,TRUE,FALSE,1,TRUE,4,2,2,NA,NA
Mubarak,Cont.long,13,NA,NA,NA,NA,NA,48.23,21.82,61,14.66,NA,FALSE,FALSE,FALSE,2,TRUE,4,2,2,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
Sun,focus.short,11,NA,NA,NA,NA,NA,0.356987,0.1948038,0.265239,0.1406866,NA,TRUE,FALSE,FALSE,1,FALSE,1,2,2,1,2
Sun,focus.long,11,NA,NA,NA,NA,NA,0.356987,0.1948038,0.204421,0.1588429,NA,TRUE,FALSE,FALSE,2,FALSE,1,2,2,1,2
Sun,unfo.short,12,NA,NA,NA,NA,NA,0.26616,0.1615753,0.328844,0.1694131,NA,TRUE,FALSE,FALSE,1,FALSE,1,2,2,2,2
Sun,unfo.long,12,NA,NA,NA,NA,NA,0.26616,0.1615753,0.260022,0.1479377,NA,TRUE,FALSE,FALSE,2,FALSE,1,2,2,2,2
Sun,cont.short,10,NA,NA,NA,NA,NA,0.30681,0.1613508,0.243005,0.1684375,NA,TRUE,FALSE,FALSE,1,TRUE,1,2,2,NA,NA
Sun,cont.long,10,NA,NA,NA,NA,NA,0.30681,0.1613508,0.287568,0.104496,NA,TRUE,FALSE,FALSE,2,TRUE,1,2,2,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ellis.etal,focus.short,11,NA,NA,NA,NA,NA,0.734,0.076,0.822,0.15,NA,FALSE,FALSE,FALSE,1,FALSE,1,2,2,1,2
Ellis.etal,focus.long,11,NA,NA,NA,NA,NA,0.734,0.076,0.899,0.076,NA,FALSE,FALSE,FALSE,2,FALSE,1,2,2,1,2
Ellis.etal,unfo.short,13,NA,NA,NA,NA,NA,0.623,0.153,0.829,0.155,NA,FALSE,FALSE,FALSE,1,FALSE,1,2,2,2,2
Ellis.etal,unfo.long,13,NA,NA,NA,NA,NA,0.623,0.153,0.832,0.14,NA,FALSE,FALSE,FALSE,2,FALSE,1,2,2,2,2
Ellis.etal,cont.short,11,NA,NA,NA,NA,NA,0.588,0.238,0.74,0.218,NA,FALSE,FALSE,FALSE,1,TRUE,1,2,2,NA,NA
Ellis.etal,cont.long,11,NA,NA,NA,NA,NA,0.588,0.238,0.663,0.187,NA,FALSE,FALSE,FALSE,2,TRUE,1,2,2,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bit.KnoC,CFWO.short,17,NA,NA,NA,NA,NA,67.59,19.26,82.53,14.33,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,3,1,1
Bit.KnoC,CFWO.long,17,NA,NA,NA,NA,NA,67.59,19.26,82.65,15.47,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,3,1,1
Bit.KnoC,CFW.short,18,NA,NA,NA,NA,NA,53.11,21.73,77.5,16.07,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,3,1,1
Bit.KnoC,CFW.Long,18,NA,NA,NA,NA,NA,53.11,21.73,76.78,20.67,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,3,1,1
Bit.KnoC,CF.short,20,NA,NA,NA,NA,NA,59.35,18.39,81.25,13,NA,FALSE,FALSE,FALSE,1,FALSE,1,1,3,1,2
Bit.KnoC,CF.long,20,NA,NA,NA,NA,NA,59.35,18.39,80.05,12.09,NA,FALSE,FALSE,FALSE,2,FALSE,1,1,3,1,2
Bit.KnoC,Cont.short,20,NA,NA,NA,NA,NA,51.9,28.32,52.75,23.26,NA,FALSE,FALSE,FALSE,1,TRUE,1,1,3,NA,NA
Bit.KnoC,Cont.long,20,NA,NA,NA,NA,NA,51.9,28.32,63.9,18.89,NA,FALSE,FALSE,FALSE,2,TRUE,1,1,3,NA,NA
,,,,,,,,,,,,,,,,,,,,,,
Bit.KnoC,CFWO.short,17,NA,NA,NA,NA,NA,59.35,10.97,82.53,18.42,NA,FALSE,FALSE,FALSE,1,FALSE,2,1,3,1,1
Bit.KnoC,CFWO.long,17,NA,NA,NA,NA,NA,59.35,10.97,79.18,9.61,NA,FALSE,FALSE,FALSE,2,FALSE,2,1,3,1,1
Bit.KnoC,CFW.short,18,NA,NA,NA,NA,NA,61.06,19.94,83.5,16.67,NA,FALSE,FALSE,FALSE,1,FALSE,2,1,3,1,1
Bit.KnoC,CFW.Long,18,NA,NA,NA,NA,NA,61.06,19.94,75.78,11.38,NA,FALSE,FALSE,FALSE,2,FALSE,2,1,3,1,1
Bit.KnoC,CF.short,15,NA,NA,NA,NA,NA,59.35,19.43,76.8,13.51,NA,FALSE,FALSE,FALSE,1,FALSE,2,1,3,1,2
Bit.KnoC,CF.long,15,NA,NA,NA,NA,NA,59.35,19.43,78.07,14.3,NA,FALSE,FALSE,FALSE,2,FALSE,2,1,3,1,2
Bit.KnoC,Cont.short,19,NA,NA,NA,NA,NA,65.16,17.01,66.32,19.94,NA,FALSE,FALSE,FALSE,1,TRUE,2,1,3,NA,NA
Bit.KnoC,Cont.long,19,NA,NA,NA,NA,NA,65.16,17.01,59.11,21.21,NA,FALSE,FALSE,FALSE,2,TRUE,2,1,3,NA,NA
