study.name,dint,SD,time,setting,cf.type,error.key,error.type,ed.level,profic,cf.oral,cf.training,cf.scope,Length,instruction,graded,genre,cf.revision,timed
Guo,0.215926341,0.283092469,4,2,2,1,0,2,1,0,0,1,1,0,0,5,0,1
Guo,0.852552414,0.311496966,4,2,3,88,0,2,1,0,0,1,1,0,0,5,0,1
Guo,0.680116979,0.300953912,4,2,0,88,0,2,1,0,0,1,1,0,0,5,0,1
Guo,0.770943674,0.310411961,4,2,8,88,0,2,1,0,0,1,1,0,0,5,0,1
Harts_Evans,0.993601935,0.443953605,2,1,2,1,0,2,1,0,99,0,99,1,0,2,1,1
Hartshorn,0.830466142,0.312672816,2,1,2,1,1,2,2,0,1,0,1,1,0,2,1,0
Hartshorn,0.948223419,0.31521358,2,1,2,1,1,2,2,0,1,0,1,1,0,2,1,0
Hartshorn,0.381740695,0.305459966,2,1,2,1,10,2,2,0,1,0,1,1,0,2,1,0
Hartshorn,-0.250818989,0.299475386,2,1,2,1,10,2,2,0,1,0,1,1,0,2,1,0
Jhowry,-0.06184442,0.475096022,1,1,1,88,0,2,2,0,0,2,2,0,99,2,1,1
Jiang_Xiao,1.068066474,0.309104312,1,2,0,88,1,2,1,0,1,2,1,0,99,5,99,1
Jiang_Xiao,0.669985341,0.276721305,1,2,0,88,1,2,1,0,1,2,1,0,99,5,99,1
Jiang_Xiao,1.302198229,0.328102008,3,2,0,88,1,2,1,0,1,2,1,0,99,5,99,1
Jiang_Xiao,0.784184111,0.283213995,3,2,0,88,1,2,1,0,1,2,1,0,99,5,99,1
Karim_End.,0.450380236,0.306520273,2,2,0,88,2,2,1,0,99,2,1,99,99,5,1,1
Karim_End.,1.436728715,0.376427762,2,2,1,88,2,2,1,0,99,2,1,99,99,5,1,1
Karim_End.,-0.348524995,0.327515514,2,2,3,88,2,2,1,0,99,2,1,99,99,5,1,1
Karim_End.,1.060783962,0.355519581,3,2,0,88,2,2,1,0,99,2,1,99,99,5,1,1
Karim_End.,1.887610336,0.444422219,3,2,1,88,2,2,1,0,99,2,1,99,99,5,1,1
Karim_End.,0.329231355,0.335506409,3,2,3,88,2,2,1,0,99,2,1,99,99,5,1,1
Karim_End.,0.796155566,0.334279825,3,2,0,88,2,2,1,0,99,2,1,99,99,5,1,1
Karim_End.,1.427156303,0.392911772,3,2,1,88,2,2,1,0,99,2,1,99,99,5,1,1
Karim_End.,-0.282406758,0.323065404,3,2,3,88,2,2,1,0,99,2,1,99,99,5,1,1
Karim_Nas.,0.161215943,0.40496685,2,1,0,88,0,2,1,0,99,0,1,99,1,5,1,1
Karim_Nas.,0.122666066,0.423480194,2,1,1,88,0,2,1,0,99,0,1,99,1,5,1,1
Karim_Nas.,0.710722344,0.462370611,2,1,2,88,0,2,1,0,99,0,1,99,1,5,1,1
Kassim_Ng,0.856788205,0.278600461,1,2,1,88,2,2,1,0,99,2,2,0,0,5,99,1
Kassim_Ng,1.306849432,0.306604762,1,2,1,88,2,2,1,0,99,2,2,0,0,5,99,1
Kassim_Ng,0.941233399,0.282107069,4,2,1,88,2,2,1,0,99,2,2,0,0,5,99,1
Kassim_Ng,1.274315874,0.302963705,4,2,1,88,2,2,1,0,99,2,2,0,0,5,99,1
Mubarak,0.917324928,0.414479152,1,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,0.102084383,0.375808799,1,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,0.755188343,0.472197735,1,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,1.176033455,0.531501884,1,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1
